system:index,NDSI_Snow_Cover,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_02_15,51.33504451136295,1.47737468E12,1575088128,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_15,1360972800000,1360886400000,1639872451947873,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_16,22.363636363636363,1.477368858E12,1582653987,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_16,1361059200000,1360972800000,1639867645994124,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_17,70.60133037694014,1.477368841E12,1554286983,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_17,1361145600000,1361059200000,1639868453915480,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_18,,1.477368853E12,1585781803,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_18,1361232000000,1361145600000,1639873319493828,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_19,38.2678536345776,1.477368622E12,1589846141,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_19,1361318400000,1361232000000,1639869614976461,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_20,56.9064561734213,1.477363496E12,1612447472,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_20,1361404800000,1361318400000,1639869536454912,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_21,,1.477363489E12,1599458309,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_21,1361491200000,1361404800000,1639870961688081,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_22,,1.487976499E12,1591577094,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_22,1361577600000,1361491200000,1639870551751435,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_23,,1.477357547E12,1597118695,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_23,1361664000000,1361577600000,1639869757013180,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_24,65.25,1.477357556E12,1589284409,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_24,1361750400000,1361664000000,1639867062556829,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_25,45.55288833823757,1.47735753E12,1619823153,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_25,1361836800000,1361750400000,1639868866585440,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_26,,1.477351393E12,1395913747,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_26,1361923200000,1361836800000,1639870883980489,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_27,,1.477351373E12,1603941480,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_27,1362009600000,1361923200000,1639866231070650,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_28,,1.487977882E12,1584919679,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_28,1362096000000,1362009600000,1639869233057426,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_01,,1.487978265E12,1591475510,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_01,1362182400000,1362096000000,1639866676736853,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_02,,1.487976868E12,1606762580,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_02,1362268800000,1362182400000,1639865372697976,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
