system:index,LST_Day_1km,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_02_10,13510.617392704356,1.508815646351E12,757554482,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_10,1360540800000,1360454400000,1638761624965698,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_11,12991.0,1.50884509453E12,746183977,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_11,1360627200000,1360540800000,1638761625605197,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_12,13386.609439528027,1.508841727802E12,749155064,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_12,1360713600000,1360627200000,1638761626218668,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_13,13227.0,1.508819024962E12,764495028,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_13,1360800000000,1360713600000,1638761627497120,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_14,13345.886010362694,1.508816902804E12,778395415,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_14,1360886400000,1360800000000,1638761628074988,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_15,13960.638993502462,1.508811538055E12,751331619,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_15,1360972800000,1360886400000,1638761628631160,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_16,13757.189661725579,1.50882823635E12,765226393,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_16,1361059200000,1360972800000,1638761630101275,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_17,13039.898973077992,1.508816596594E12,751767092,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_17,1361145600000,1361059200000,1638761630659378,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_18,,1.508808567819E12,748034618,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_18,1361232000000,1361145600000,1638761631284637,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_19,13338.609286523215,1.508830186606E12,768407546,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_19,1361318400000,1361232000000,1638761631855817,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_20,12709.50201884253,1.508822556983E12,773008031,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_20,1361404800000,1361318400000,1638761632414915,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_21,,1.50882474414E12,776256379,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_21,1361491200000,1361404800000,1638761633021650,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_22,,1.50880838696E12,771013400,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_22,1361577600000,1361491200000,1638761633467283,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_23,,1.508821783419E12,788975103,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_23,1361664000000,1361577600000,1638761634054532,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_24,,1.508813644939E12,788854376,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_24,1361750400000,1361664000000,1638761634673626,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_25,13089.116071428572,1.508813959721E12,788236578,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_25,1361836800000,1361750400000,1638761635126215,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_26,,1.508811832315E12,694159826,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_26,1361923200000,1361836800000,1638761635680502,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_27,13463.501015375685,1.508839747849E12,788182134,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_27,1362009600000,1361923200000,1638761636268525,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_28,,1.508813634663E12,773118467,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_28,1362096000000,1362009600000,1638761637209228,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_01,,1.508834534461E12,770602769,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_01,1362182400000,1362096000000,1638761637809849,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_02,,1.508823733989E12,793005461,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_02,1362268800000,1362182400000,1638761638434995,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_03,13567.899779803045,1.50880863446E12,798730819,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_03,1362355200000,1362268800000,1638761639058365,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_04,13686.324157652623,1.508835913879E12,800094655,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_04,1362441600000,1362355200000,1638761639634705,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_05,,1.508832586545E12,775414955,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_05,1362528000000,1362441600000,1638761640248588,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_06,,1.508837632405E12,789779730,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_06,1362614400000,1362528000000,1638761640850897,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
