date,hourlyPrecipRate
20140320_2100,0
20140320_2200,0
20140320_2300,0.093933718
20140321_0000,0
20140321_0100,0
20140321_0200,0
20140321_0300,0
20140321_0400,0
20140321_0500,0
20140321_0600,0
20140321_0700,0
20140321_0800,0
20140321_0900,0
20140321_1000,0
20140321_1100,0
20140321_1200,0
20140321_1300,0
20140321_1400,0
20140321_1500,0
20140321_1600,0
20140321_1700,0
20140321_1800,0
20140321_1900,0
20140321_2000,0
20140321_2100,0
20140321_2200,0
20140321_2300,0
20140322_0000,0.015813533
20140322_0100,0
20140322_0200,0
20140322_0300,0
20140322_0400,0
20140322_0500,0
20140322_0600,0
20140322_0700,0
20140322_0800,0
20140322_0900,0
20140322_1000,0
20140322_1100,0
20140322_1200,0
20140322_1300,0
20140322_1400,0
20140322_1500,0
20140322_1600,0
20140322_1700,0
20140322_1800,0
20140322_1900,0
20140322_2000,0
20140322_2100,0
20140322_2200,0
20140322_2300,0
20140323_0000,0
20140323_0100,0.045596888
20140323_0200,0.048287831
20140323_0300,2.400366564
20140323_0400,0
20140323_0500,0.005790773
20140323_0600,0
20140323_0700,0
20140323_0800,0
20140323_0900,0
20140323_1000,0
20140323_1100,0
20140323_1200,0
20140323_1300,0
20140323_1400,0
20140323_1500,0
20140323_1600,0
20140323_1700,0
20140323_1800,0
20140323_1900,0
20140323_2000,0
20140323_2100,0
20140323_2200,0
20140323_2300,0
20140324_0000,0
20140324_0100,0
20140324_0200,1.329135317
20140324_0300,1.523612986
20140324_0400,0
20140324_0500,3.726044905
20140324_0600,0
20140324_0700,0
20140324_0800,0
20140324_0900,0
20140324_1000,0
20140324_1100,0
20140324_1200,0
20140324_1300,0
20140324_1400,0
20140324_1500,0
20140324_1600,0
20140324_1700,0
20140324_1800,0
20140324_1900,0
20140324_2000,0
20140324_2100,0
20140324_2200,0
20140324_2300,0
20140325_0000,0
20140325_0100,0.207112445
20140325_0200,0
20140325_0300,0.170619676
20140325_0400,0
20140325_0500,0
20140325_0600,0
20140325_0700,0
20140325_0800,0.082487533
20140325_0900,0.166741676
20140325_1000,3.707187763
20140325_1100,0.401433315
20140325_1200,1.153527955
20140325_1300,1.614242935
20140325_1400,0.988417021
20140325_1500,0.127005516
20140325_1600,1.169924312
20140325_1700,0.064334589
20140325_1800,0.168563376
20140325_1900,0.671299163
20140325_2000,1.539280778
20140325_2100,0.490576525
20140325_2200,3.121030125
20140325_2300,5.94273649
20140326_0000,0.126218811
20140326_0100,0
20140326_0200,0.181229466
20140326_0300,1.120107313
20140326_0400,0
20140326_0500,0
20140326_0600,0
20140326_0700,0
20140326_0800,0
20140326_0900,0
20140326_1000,0.262400271
20140326_1100,0.070664367
20140326_1200,0.004800441
20140326_1300,0
20140326_1400,0
20140326_1500,0
20140326_1600,0
20140326_1700,0
20140326_1800,0
20140326_1900,0
20140326_2000,0
20140326_2100,3.761138821
20140326_2200,0.044985171
20140326_2300,0.082982857
20140327_0000,0
20140327_0100,0
20140327_0200,0
20140327_0300,0.006596397
20140327_0400,0.363628525
20140327_0500,0.260591759
20140327_0600,0
20140327_0700,0
20140327_0800,0
20140327_0900,0
20140327_1000,0
20140327_1100,0
20140327_1200,0
20140327_1300,0
20140327_1400,0
20140327_1500,0
20140327_1600,0
20140327_1700,0.593755051
20140327_1800,0.956776283
20140327_1900,1.674450754
20140327_2000,0.526736842
20140327_2100,0
20140327_2200,0
20140327_2300,0
20140328_0000,0
20140328_0100,0
20140328_0200,0
20140328_0300,0
20140328_0400,0
20140328_0500,0
20140328_0600,0
20140328_0700,0
20140328_0800,0
20140328_0900,0
20140328_1000,0.043180707
20140328_1100,0
20140328_1200,3.170164933
20140328_1300,6.647732843
20140328_1400,0.341682134
20140328_1500,0
20140328_1600,0
20140328_1700,3.070838373
20140328_1800,1.054772741
20140328_1900,0.316347087
20140328_2000,0
20140328_2100,2.609886142
20140328_2200,0.169751389
20140328_2300,0
20140329_0000,0
20140329_0100,0
20140329_0200,0
20140329_0300,0
20140329_0400,0
20140329_0500,0
20140329_0600,0
20140329_0700,0
20140329_0800,0
20140329_0900,0
20140329_1000,0
20140329_1100,0
20140329_1200,3.689180518
20140329_1300,0
20140329_1400,0
20140329_1500,0.238411151
20140329_1600,0.043762001
20140329_1700,0
20140329_1800,0.173336105
20140329_1900,0.001067159
20140329_2000,0.144353601
20140329_2100,0.006765794
20140329_2200,0.706308583
20140329_2300,0
20140330_0000,0
20140330_0100,0
20140330_0200,0
20140330_0300,0.179984749
20140330_0400,0.373996257
20140330_0500,0
20140330_0600,0
20140330_0700,0
20140330_0800,0
20140330_0900,0
20140330_1000,0
20140330_1100,0
20140330_1200,0
20140330_1300,0
20140330_1400,0
20140330_1500,0
20140330_1600,0
20140330_1700,0
20140330_1800,0
20140330_1900,0
20140330_2000,0.202757584
20140330_2100,1.167049503
20140330_2200,0
20140330_2300,0
20140331_0000,0
20140331_0100,0
20140331_0200,0
20140331_0300,0
20140331_0400,0
20140331_0500,0
20140331_0600,0
20140331_0700,0
20140331_0800,0
20140331_0900,0
20140331_1000,0
20140331_1100,0
20140331_1200,0
20140331_1300,0
20140331_1400,0
20140331_1500,0
20140331_1600,0
20140331_1700,0
20140331_1800,0
20140331_1900,0.175205195
20140331_2000,0.861690373
20140331_2100,0.034481919
20140331_2200,0
20140331_2300,0
20140401_0000,0
20140401_0100,0
20140401_0200,0
20140401_0300,0
20140401_0400,0
20140401_0500,0
20140401_0600,0
20140401_0700,0
20140401_0800,0
20140401_0900,0
20140401_1000,0
20140401_1100,0.057286321
20140401_1200,0
20140401_1300,0
20140401_1400,0
20140401_1500,0
20140401_1600,0
20140401_1700,0
20140401_1800,0
20140401_1900,0
20140401_2000,0
20140401_2100,0
20140401_2200,0
20140401_2300,0
20140402_0000,0
20140402_0100,0
20140402_0200,0
20140402_0300,0
20140402_0400,0
20140402_0500,0
20140402_0600,0
20140402_0700,0
20140402_0800,0
20140402_0900,0
20140402_1000,0
20140402_1100,0
20140402_1200,0
20140402_1300,0
20140402_1400,0
20140402_1500,0
20140402_1600,0
20140402_1700,0
20140402_1800,0
20140402_1900,0
20140402_2000,0.536978784
20140402_2100,0
20140402_2200,0
20140402_2300,0
20140403_0000,0
20140403_0100,0
20140403_0200,0.01513804
20140403_0300,0.233646666
20140403_0400,4.771480339
20140403_0500,0
20140403_0600,0
20140403_0700,0
20140403_0800,0
20140403_0900,0
20140403_1000,0
20140403_1100,0
20140403_1200,0
20140403_1300,0
20140403_1400,0
20140403_1500,0
20140403_1600,0
