,mean,sd,quality
2014-03-17,223.188024691358,388.43096383533765,100.0
2014-03-18,226.7204938271605,391.1039666984382,100.0
2014-03-19,229.79753086419757,392.51281744527415,100.0
2014-03-20,232.35864197530867,396.2984823676249,100.0
2014-03-21,236.6806172839506,397.9124359150694,100.0
2014-03-22,236.6806172839506,397.9124359150694,100.0
2014-03-23,236.65592592592589,397.9242262283668,100.0
2014-03-24,236.10839506172843,398.037643780261,100.0
2014-03-25,234.70950617283953,397.7717146960717,100.0
2014-03-26,234.33469135802468,400.19413883478614,100.0
2014-03-27,234.77024691358028,403.87309592858287,100.0
2014-03-28,235.4764197530864,409.1200798277586,100.0
2014-03-29,235.76098765432099,415.3774625524504,100.0
2014-03-30,234.70925925925923,415.500470345034,100.0
2014-03-31,239.08567901234565,425.0354528005231,100.0
2014-04-01,238.86432098765434,425.1184626252377,100.0
2014-04-02,237.80197530864197,425.22344097668156,100.0
2014-04-03,237.08345679012348,425.40618780807745,100.0
2014-04-04,237.29876543209878,428.82153995975625,100.0
2014-04-05,237.6025925925926,432.6881603960807,100.0
2014-04-06,236.53086419753086,432.8301037133321,100.0
2014-04-07,235.15703703703704,432.9366858342119,100.0
2014-04-08,233.24925925925925,432.65985237186555,100.0
2014-04-09,231.54172839506174,432.49549926499276,100.0
2014-04-10,230.9333333333333,432.63165419615336,100.0
2014-04-11,230.4622222222222,432.70752599764194,100.0
2014-04-12,229.34654320987653,432.4657890925029,100.0
2014-04-13,228.40012345679017,432.45152272391704,100.0
2014-04-14,226.94061728395064,431.96031699493443,100.0
2014-04-15,225.60777777777778,431.5347993412583,100.0
2014-04-16,225.65975308641973,432.79357185896174,100.0
2014-04-17,224.63283950617281,432.72504975224905,100.0
2014-04-18,223.84629629629634,432.6923487058803,100.0
2014-04-19,226.33777777777777,436.6268368612952,100.0
2014-04-20,226.6027160493827,439.9120974439449,100.0
2014-04-21,227.968024691358,442.9378187466604,100.0
2014-04-22,226.82123456790123,442.58162249291007,100.0
2014-04-23,229.09493827160492,447.04040381190225,100.0
2014-04-24,229.30333333333334,450.93310145463926,100.0
2014-04-25,231.35913580246913,456.2074610366361,100.0
2014-04-26,231.16086419753086,457.6464037283521,100.0
2014-04-27,232.91012345679013,462.43146274473435,100.0
2014-04-28,235.60814814814816,469.31757976904913,100.0
2014-04-29,235.4462962962963,469.3686011666217,100.0
2014-04-30,234.19382716049384,469.0229873272948,100.0
2014-05-01,231.94567901234566,468.14945878409986,100.0
2014-05-02,229.02728395061726,466.8909989574984,100.0
2014-05-03,227.0422222222222,466.27566075498726,100.0
2014-05-04,225.89518518518517,466.18535784629455,100.0
2014-05-05,224.8575308641975,466.1257154822368,100.0
2014-05-06,223.7993827160494,466.02989878693865,100.0
2014-05-07,222.68864197530863,465.9261553126018,100.0
2014-05-08,222.01296296296294,465.9666739731621,100.0
2014-05-09,220.83666666666667,465.7537279212052,100.0
2014-05-10,220.82753086419757,469.2779313464752,100.0
2014-05-11,221.01333333333335,472.2675511878833,100.0
2014-05-12,220.33123456790125,472.33968195670025,100.0
2014-05-13,218.75271604938274,471.7781665359587,100.0
2014-05-14,216.5583950617284,470.7289306608869,100.0
2014-05-15,213.95148148148147,469.45925871717327,100.0
2014-05-16,211.33197530864197,468.26257706125665,100.0
2014-05-17,209.5679012345679,467.6754120186244,100.0
2014-05-18,208.35592592592596,467.49503747841476,100.0
2014-05-19,207.25197530864196,467.297010696676,100.0
2014-05-20,206.13432098765432,467.11808023223176,100.0
2014-05-21,204.60308641975305,466.46923165853605,100.0
2014-05-22,203.22333333333333,466.05438344414273,100.0
2014-05-23,201.45876543209877,465.3593572884904,100.0
2014-05-24,199.521975308642,464.58281410696776,100.0
2014-05-25,198.40123456790124,464.3855106411664,100.0
2014-05-26,197.36691358024692,464.1252168290416,100.0
2014-05-27,196.4472839506173,463.99079984686216,100.0
2014-05-28,195.7946913580247,463.9448249013196,100.0
2014-05-29,195.0669135802469,463.8317100243417,100.0
2014-05-30,194.44395061728395,463.7387274766876,100.0
2014-05-31,193.410987654321,463.13591817522894,100.0
2014-06-01,191.83938271604939,462.11451650901876,100.0
2014-06-02,190.67456790123455,461.49804335459896,100.0
2014-06-03,189.08024691358025,460.39543098290875,100.0
2014-06-04,187.86555555555557,459.6724034217194,100.0
2014-06-05,186.81222222222223,459.01394413732135,100.0
2014-06-06,186.04111111111112,458.5931945580964,100.0
2014-06-07,184.810987654321,457.6023375257303,100.0
2014-06-08,183.62098765432097,456.6861066246841,100.0
2014-06-09,182.36827160493826,455.7499668507672,100.0
2014-06-10,181.22320987654322,454.95211576831684,100.0
2014-06-11,180.35827160493827,454.4298983060812,100.0
2014-06-12,179.42234567901232,453.716656819737,100.0
2014-06-13,178.60925925925926,453.19221663047614,100.0
2014-06-14,178.06827160493827,452.95447304555375,100.0
2014-06-15,177.58666666666667,452.74090368277973,100.0
2014-06-16,177.15938271604938,452.5836560718517,100.0
2014-06-17,177.18530864197533,454.2586259309954,100.0
2014-06-18,176.74382716049385,454.06429517626657,100.0
2014-06-19,176.1656790123457,453.74199496503047,100.0
2014-06-20,175.3167901234568,453.0811470719873,100.0
2014-06-21,174.6275308641975,452.58574473664885,100.0
2014-06-22,174.05395061728396,452.11334723904974,100.0
2014-06-23,172.90358024691358,450.9456373564021,100.0
2014-06-24,171.53358024691357,449.5428083656457,100.0
2014-06-25,170.67753086419754,448.7789773138078,100.0
2014-06-26,169.71234567901234,447.8564857135365,100.0
2014-06-27,168.77753086419753,447.00938573628093,100.0
2014-06-28,168.04703703703706,446.41639000333646,100.0
2014-06-29,167.2141975308642,445.6960977753346,100.0
2014-06-30,166.49444444444444,445.11004946810624,100.0
2014-07-01,165.67345679012345,444.33597781735085,100.0
2014-07-02,164.15246913580248,442.7481567791413,100.0
2014-07-03,163.0174074074074,441.7007438859985,100.0
2014-07-04,162.02074074074073,440.8156059390871,100.0
2014-07-05,161.3120987654321,440.1993245784119,100.0
2014-07-06,160.26135802469136,439.1276870961142,100.0
2014-07-07,158.81296296296296,437.5720260466968,100.0
2014-07-08,157.3603703703704,436.03686282080685,100.0
2014-07-09,155.70654320987654,434.1639122041366,100.0
2014-07-10,154.23,432.4952571791974,100.0
2014-07-11,153.04037037037037,431.20723577951605,100.0
2014-07-12,151.49160493827162,429.42608495076547,100.0
2014-07-13,149.54111111111112,427.0284274231634,100.0
2014-07-14,147.52617283950616,424.52114858852406,100.0
2014-07-15,145.83074074074074,422.48326666501765,100.0
2014-07-16,143.9485185185185,420.1897542632112,100.0
2014-07-17,142.12246913580248,417.95411545865556,100.0
2014-07-18,140.79592592592593,416.4289736010746,100.0
2014-07-19,139.75506172839505,415.28828415368116,100.0
2014-07-20,138.64037037037036,414.06867832958704,100.0
2014-07-21,137.879012345679,413.34731083437856,100.0
2014-07-22,137.32,412.86904529463084,100.0
2014-07-23,136.40987654320986,411.93659313204324,100.0
2014-07-24,135.67185185185184,411.24909965892664,100.0
2014-07-25,135.07814814814816,410.6577701995639,100.0
2014-07-26,134.55123456790125,410.08385498085244,100.0
2014-07-27,133.8337037037037,409.2379301440803,100.0
2014-07-28,132.64271604938273,407.6656261570638,100.0
2014-07-29,131.0030864197531,405.4511561817341,100.0
2014-07-30,129.34345679012344,403.2280943063135,100.0
2014-07-31,127.81592592592592,401.2113579890833,100.0
2014-08-01,126.24666666666666,399.1370336519778,100.0
2014-08-02,124.67753086419752,396.8313513305459,100.0
2014-08-03,123.19074074074075,394.56095714343604,100.0
2014-08-04,121.73469135802469,392.3515575956287,100.0
2014-08-05,120.22222222222223,390.0598948302683,100.0
2014-08-06,119.04197530864197,388.31458002636134,100.0
2014-08-07,118.1179012345679,387.02213897823736,100.0
2014-08-08,117.3095061728395,385.92505175843814,100.0
2014-08-09,116.49543209876545,384.7966904907363,100.0
2014-08-10,115.6827160493827,383.6586212344653,100.0
2014-08-11,114.47913580246916,381.8835900349658,100.0
2014-08-12,112.99864197530863,379.51524189007586,100.0
2014-08-13,111.88185185185185,377.8219185512902,100.0
2014-08-14,111.02679012345679,376.5860442376588,100.0
2014-08-15,110.2967901234568,375.57430542379745,100.0
2014-08-16,109.5704938271605,374.4398940247327,100.0
2014-08-17,108.88506172839507,373.3514829256858,100.0
2014-08-18,108.15567901234569,372.2084313658755,100.0
2014-08-19,107.19160493827161,370.6182894112782,100.0
2014-08-20,106.32345679012347,369.22865772499466,100.0
2014-08-21,105.76975308641974,368.3934965155306,100.0
2014-08-22,105.31543209876544,367.74405218524396,100.0
2014-08-23,104.7358024691358,366.8259541453691,100.0
2014-08-24,103.99098765432099,365.623952626209,100.0
2014-08-25,103.15246913580248,364.26296058112626,100.0
2014-08-26,102.30679012345679,362.89027740774196,100.0
2014-08-27,101.28777777777779,361.2198767406081,100.0
2014-08-28,100.25802469135803,359.51272605229065,100.0
2014-08-29,99.57679012345679,358.35250526132484,100.0
2014-08-30,98.96753086419754,357.3354014421566,100.0
2014-08-31,98.54691358024692,356.6844636287161,100.0
2014-09-01,98.18753086419753,356.13828994693506,100.0
2014-09-02,97.75086419753086,355.42955424457017,100.0
2014-09-03,97.40296296296297,354.9131383819302,100.0
2014-09-04,97.05246913580247,354.38275771237403,100.0
2014-09-05,96.4867901234568,353.40062035821035,100.0
2014-09-06,95.60000000000001,351.8250632594273,100.0
2014-09-07,94.58876543209877,350.039530854669,100.0
2014-09-08,93.58148148148148,348.2717555484191,100.0
2014-09-09,92.8483950617284,347.0102912539367,100.0
2014-09-10,92.39432098765432,346.28964150310026,100.0
2014-09-11,91.93160493827162,345.56524891276604,100.0
2014-09-12,91.68592592592591,345.2494227612039,100.0
2014-09-13,91.19296296296298,344.4523005346474,100.0
2014-09-14,90.36074074074074,343.01725926976974,100.0
2014-09-15,89.44037037037039,341.4371348668905,100.0
2014-09-16,88.46654320987655,339.7773144986305,100.0
2014-09-17,87.4285185185185,338.0225735106721,100.0
2014-09-18,86.71456790123457,336.8928908015475,100.0
2014-09-19,86.11851851851851,336.0051354187579,100.0
2014-09-20,85.51518518518517,335.093258366649,100.0
2014-09-21,84.8467901234568,334.05393368372097,100.0
2014-09-22,83.91160493827161,332.5312166904665,100.0
2014-09-23,83.14851851851853,331.3730707718685,100.0
2014-09-24,82.27679012345679,329.98967154604685,100.0
2014-09-25,81.68432098765433,329.1136795278277,100.0
2014-09-26,81.20074074074074,328.4315327004161,100.0
2014-09-27,80.75641975308642,327.8160401708122,100.0
2014-09-28,80.39308641975309,327.3453994698947,100.0
2014-09-29,79.74875,328.44619510187465,98.76543209876543
2014-09-30,79.35592592592593,325.8268921328386,100.0
2014-10-01,79.0537037037037,325.4565902445534,100.0
2014-10-02,78.64925925925927,324.8948889363212,100.0
2014-10-03,78.43925925925926,324.65898920936166,100.0
2014-10-04,77.84123456790122,323.733095158584,100.0
2014-10-05,76.9962962962963,322.41523041896,100.0
2014-10-06,76.11975308641975,320.92724954799075,100.0
2014-10-07,75.40666666666667,319.73295380285725,100.0
2014-10-08,74.61061728395062,318.38839555386465,100.0
2014-10-09,74.10666666666665,317.6045940946069,100.0
2014-10-10,73.40493827160493,316.42040605468014,100.0
2014-10-11,72.92148148148148,315.6600297634747,100.0
2014-10-12,72.64950617283951,315.24799358957563,100.0
2014-10-13,72.46506172839506,314.99689623123055,100.0
